id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
9796,201721080201,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1702,外语水平类,初级,全国大学英语四级考试,2019-03-01,暂无数据
9797,201721110024,男,汉族,外国语学院,日语,日语1702,外语水平类,高级,雅思英语水平考试(IELTS),2018-09-07,暂无数据
9798,201721040167,女,汉族,法学院,法学,法1705,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9799,1611080125,女,汉族,外国语学院,商务英语,商英1601,外语水平类,高级,雅思英语水平考试(IELTS),2019-05-11,暂无数据
9800,201721040670,女,汉族,法学院,法学,民商1701,职业证书类,中级,普通话水平测试等级,2019-05-10,暂无数据
9801,1604080133,男,汉族,法学院,法学,法制1601,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9802,201721040064,女,汉族,法学院,法学,法制1701,职业证书类,中级,普通话水平测试等级,2018-12-07,暂无数据
9803,201721080075,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9804,201721060254,女,壮族,工商管理学院,工商管理,工商1701,外语水平类,初级,全国大学英语四级考试,2019-04-04,暂无数据
9805,201721100076,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,外语水平类,初级,全国大学英语四级考试,2018-12-12,暂无数据
9806,201721040758,女,汉族,法学院,法学,法1702,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9807,1611060118,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,职业证书类,初级,ACCA商业会计师证,2018-12-30,暂无数据
9808,1608030108,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,职业证书类,中级,ACCA商业会计师证,2019-07-15,暂无数据
9809,1611080132,女,汉族,外国语学院,商务英语,商英1601,职业证书类,中级,普通话水平测试等级,2019-09-04,暂无数据
9810,201721070007,男,汉族,财政税务学院,税收学,税务1701,外语水平类,中级,全国大学英语六级考试,2019-09-01,暂无数据
9811,201721320005,女,汉族,文澜学院,经济管理试验班,经管1702,职业证书类,初级,初级会计专业技术资格考试,2018-06-01,暂无数据
9812,1604000837,女,汉族,法学院,法学,法1608,外语水平类,中级,全国大学英语六级考试,2019-06-16,暂无数据
9813,201512090215,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,职业证书类,中级,普通话水平测试等级,2018-11-22,暂无数据
9814,201721040544,女,汉族,法学院,法学,法1702,外语水平类,中级,全国大学英语六级考试,2019-08-23,暂无数据
9815,201721040688,女,汉族,法学院,法学,法1702,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-31,暂无数据
9816,201721110049,女,汉族,外国语学院,英语,英语1704,外语水平类,中级,英语专业四级考试(TEM-4),2019-08-26,暂无数据
9817,201721080092,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,外语水平类,中级,全国大学英语六级考试,2019-06-15,暂无数据
9818,1602010115,女,汉族,经济学院,经济学,经济1601,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-17,暂无数据
9819,201821100224,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1804,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-31,暂无数据
9820,1603030148,女,汉族,金融学院,工程管理,工程1601,职业证书类,初级,证券从业人员资格考试,2019-04-27,暂无数据
9821,1601040107,女,土家族,工商管理学院,工商管理,工商1602,职业证书类,中级,教师资格考试,2019-05-31,暂无数据
9822,201721080281,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1701,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9823,1606030153,女,汉族,财政税务学院,财政学（中英班）,国财1601,外语水平类,中级,雅思英语水平考试(IELTS),2018-10-24,暂无数据
9824,1608030120,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,外语水平类,中级,全国大学英语六级考试,2018-12-29,暂无数据
9825,201721040036,女,汉族,法学院,法学,法1705,计算机水平类,中级,全国计算机等级考试(1-4),2018-11-01,暂无数据
9826,1607030243,女,蒙古族,财政税务学院,税收学,税务1602,职业证书类,初级,初级会计专业技术资格考试,2019-06-08,暂无数据
9827,1607010311,女,汉族,财政税务学院,财政学,财政1603,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-31,暂无数据
